,id,name,fans,性别,星座,出生日期,出生地,职业,更多外文名,更多中文名,家庭成员,imdb编号,生卒日期,去世日期
0,1000001,朱丽娅·斯蒂尔斯 Julia Stiles,3604,女,白羊座,1981年03月28日,"美国,纽约",演员 / 导演 / 编剧,Julia O'Hara Stiles (本名),none,Preston J. Cook(夫),,,
1,1000014,艾什莉·贾德 Ashley Judd,3779,女,白羊座,1968年04月19日,"美国,加利福尼亚州,格拉纳达希尔斯",演员 / 配音 / 导演,Ashley Tyler Ciminella (本名) / Sweet Pea (昵称) / Ash (昵称),阿什丽·贾德,Naomi Judd(母) / Wynonna Judd(姐),,,
2,1000015,米歇尔·莫纳汉 Michelle Monaghan,8057,女,白羊座,1976年03月23日,"美国,爱荷华,温思罗普",演员 / 配音,Michelle Lynn Monaghan (本名),米歇尔·莫娜汉 / 米雪·慕娜汉(港) / 米歇尔·琳恩·莫娜汉(本名) / 蜜雪儿·摩纳汉(台),彼得·怀特(夫),,,
3,1000018,寇碧·史莫德斯 Cobie Smulders,11731,女,白羊座,1982年04月03日,"加拿大,不列颠哥伦比亚,温哥华",演员 / 配音,Jacoba Fransisca Maria Smulders (本名),罗宾阿姨(昵称),塔兰·基尔拉姆(夫),,,
4,1000029,亨利·伊安·库斯克 Henry Ian Cusick,201,,白羊座,1967年04月17日,"秘鲁,特鲁希略",演员 / 导演,Henry Ian Cuisick,,,,,
5,1000036,乔丹娜·布鲁斯特 Jordana Brewster,4984,女,金牛座,1980年04月26日,"巴拿马,巴拿马城",演员,,,Andrew Form（夫） / Julian Form(子),,,
6,1000064,布兰达·宋 Brenda Song,735,女,白羊座,1988年03月27日,"美国,加利福尼亚州,卡迈克尔",演员 / 配音 / 制片人,B (昵称) / Bren (昵称) / BS (昵称) / Bren S (昵称) / Brenda Julietta Song (本名),布伦达·桑,,,,
7,1000090,迈克尔·皮特 Michael Pitt,7075,男,白羊座,1981年04月10日,"美国,新泽西,西奥兰治",演员 / 编剧 / 导演,Michael Carmen Pitt (本名),米高·彼特(港) / 迈克尔·彼特,Jamie Bochert(妻),,,
8,1000145,霍思燕 Siyan Huo,4065,,天秤座,1980年10月23日,"中国,北京",演员 / 配音,Huo Si-yan,none,杜江(男友),,,
9,1000148,彭浩翔 Ho-Cheung Pang,16863,男,处女座,+1973年09月22日,"中国,香港",编剧 / 制片人 / 导演 / 演员 / 摄影,Edmond Pang / Pang Ho-Cheung,,梁启缘(妻),,,
10,1000166,姜成镐 Sung Kang,2721,男,白羊座,1972年04月08日,"美国,乔治亚州,盖恩斯维尔",演员 / 制片人 / 配音 / 导演,강성호(本名),宋康 / 成康,Miki Yim（妻）,,,
11,1000183,莎拉·加顿 Sarah Gadon,4902,,白羊座,1987年04月04日,"加拿大,安大略省,多伦多",演员 / 配音,Sarah Gadon (本名),,Matthew Hannam（男友）,,,
12,1000188,斯科特·伊斯特伍德 Scott Eastwood,2022,男,白羊座,1986年03月21日,"美国,加利福尼亚州,卡梅尔",演员 / 制片人 / 配音,Scott C. Reeves (本名),史葛伊士活（港） / 史考特伊斯威特（台）,Clint Eastwood(父),,,
13,1000201,艾尔伯特·休斯 Albert Hughes,84,,白羊座,1972年04月01日,"美国,密歇根州,底特律",导演 / 制片人 / 编剧 / 摄影,The Hughes Brothers,,,,,
14,1000225,杰西卡·查斯坦 Jessica Chastain,25922,女,白羊座,1977年03月24日,"美国,加利福尼亚,萨克拉门托",演员 / 配音 / 制片人 / 编剧,Jessica Michelle Chastain (本名),杰西卡·查斯坦荫 / 杰西卡·查斯汀 / 劳模姐(昵称),Gian Luca Passi de Preposulo(夫),,,
15,1000230,埃德加·拉米雷兹 Édgar Ramírez,1062,男,白羊座,1977年03月25日,"委内瑞拉,加拉加斯",演员 / 导演 / 副导演,Edgar Ramírez Arellanos(本名) / Catire(昵称) / Edgar Ramirez,,,,,
16,1000366,泰迪·西尔斯 Teddy Sears,555,男,白羊座,1977年04月06日,"美国,哥伦比亚特区,华盛顿",演员,Edward M. Sears (本名),,,,,
17,1000381,法瑞尔·威廉姆斯 Pharrell Williams,166,,白羊座,1973年04月05日,"美国,弗吉尼亚州,弗吉尼亚海滩",演员 / 制片人 / 配音 / 音乐,Pharrell,菲瑞,Helen Lasichanh (妻),,,
18,1000388,瓦妮莎·布兰奇 Vanessa Branch,397,女,白羊座,1973年03月21日,"英国,伦敦",演员 / 配音 / 制片人,Vanessa Lynn Branch (本名),范妮莎·布兰奇,,,,
19,1000525,吴京 Jing Wu,13131,男,白羊座,1974年04月03日,"中国,北京",演员 / 制片人 / 导演 / 编剧 / 配音,Jacky Wu,,谢楠(妻),,,
20,1000526,赵文卓 Man Cheuk Chiu,4082,男,白羊座,1972年04月10日,"中国,黑龙江,宁安",演员 / 导演,Man Cheuk Chiu,赵卓(本名),张丹露(妻) / 赵紫阳(女) / 赵子龙(儿) / 梅艳芳(前女友),,,
21,1000571,徐静蕾 Jinglei Xu,6785,,白羊座,1974年04月16日,"中国,北京",演员 / 制片人 / 导演 / 编剧 / 其它,Xu Jing Lei / Jing Lei Xu,老徐(昵称) / 静蕾(昵称) / 蕾蕾(昵称),黄觉(前男友) / 徐子健(父) / 于淑荣(母亲) / 徐新宇(弟),,,
22,1000572,刘烨 Ye Liu,14362,,白羊座,1978年03月23日,"中国,吉林,长春",演员 / 导演 / 配音 / 主持人 / 编剧,Liu Ye / Ye Liu / Year Liu,火华社社长(微博自称),刘诺一(儿子) / 刘霓娜(女儿) / 安娜依斯(妻),,,
23,1000582,茱莉亚·施泰格瓦尔特 Giulia Steigerwalt,113,,白羊座,1982年04月13日,"美国,得克萨斯州,休斯敦",演员 / 编剧 / 导演,Giulia Louise Steigerwalt (本名),玖丽亚·斯特戈尔特,,,,
24,1000611,让娜·巴利巴尔 Jeanne Balibar,415,女,白羊座,1968年04月13日,"法国,巴黎",演员 / 配音 / 导演 / 编剧,,,Mathieu Amalric（前夫）,,,
25,1000652,凯文·伯恩哈特 Kevin Bernhardt,17,男,白羊座,1961年04月02日,"美国,佛罗里达州,代托纳海滩",编剧 / 演员 / 制片人,,,,,,
26,1000675,理查德·德克勒克 Richard de Klerk,22,男,白羊座,1984年03月27日,"加拿大,不列颠哥伦比亚省,温哥华",演员 / 制片人 / 配音 / 导演,Richard DeKlerk / Richard deKlerk,,,,,
27,1000687,罗纳德·巴斯 Ronald Bass,64,男,白羊座,1942年03月26日,"美国,加利福尼亚州,洛杉矶",编剧 / 制片人,Ronald Jay Bass (本名),罗 博斯,,,,
28,1000726,陈果 Fruit Chan,6587,男,白羊座,1959年04月15日,"中国,广东",演员 / 导演 / 副导演 / 编剧 / 制片人,Guo Chen / Fruit Chan Kuo,田十八 / 水果,,,,
29,1000744,竹内顺子 Junko Takeuchi,294,女,白羊座,1972年04月05日,"日本,琦玉",配音 / 演员,Takeuchi Junko,,,,,
30,1000845,山下智久 Tomohisa Yamashita,19303,,白羊座,1985年04月09日,"日本,千叶,船桥",演员,Yamapi(昵称) / Tomo-kun(昵称) / TomoPi(昵称) / Pi(昵称) / Tomohisa Aoki(本名) / Yamashita Tomohisa(别名) / やました ともひさ(日),山P(昵称) / 青木智久(曾用名),山下直美(母) / 山下莉奈(妹),,,
31,1000905,葛优 You Ge,30985,男,白羊座,1957年04月19日,"中国,北京",演员 / 配音,Your Ge,葛憂(港) / 优子 / 葛大爷(昵称),贺聪(妻) / 葛存壮(父) / 施文心(母),,,
32,1000975,梁咏琪 Gigi Leung,4279,女,白羊座,1976年03月25日,"中国,香港",演员 / 导演 / 配音 / 制片人 / 编剧,Leung Pei Chi (本名) / GiGi,梁碧姿 / 高妹,Sergio Crespo Gutes(夫),,,
33,1001074,董洁 Jie Dong,5335,女,白羊座,1980年04月19日,"中国,辽宁,大连",演员 / 配音,Angela Dong / Angel,小董老师(别名),潘粤明(前夫),,,
34,1001241,张睿家 Bryant Chang,1249,男,白羊座,1985年03月31日,中国台湾,演员,Jia-zhen Zhang (本名),张家振,,,,
35,1001301,刘心悠 Annie Liu,7368,女,白羊座,1981年04月01日,"中国,台湾",演员 / 其它,Fan-ping Liu (本名) / Lau Sem Yeo,刘凡平(本名),,,,
36,1001373,泰勒·斯威夫特 Taylor Swift,20065,,射手座,1989年12月13日,"美国,宾夕法尼亚,雷丁",演员 / 编剧 / 音乐 / 导演 / 配音,Taylor Alison Swift (本名),泰勒·艾莉森·斯威夫特 / 泰勒·史薇芙特 / 泰勒·斯威芙特 / 霉霉(昵称) / 泰勒丝,斯科特·斯威夫特(父) / 安德里亚·斯威夫特(母) /  乔·阿尔文(男友),,,
37,1001393,何赛飞 Saifei He,4026,女,白羊座,1963年04月11日,"中国,浙江,舟山",演员,Caifei He,,杨楠(夫) / 何啸风(子),,,
38,1001466,周俊伟 Lawrence Chou,802,,白羊座,1979年04月19日,中国香港,演员 / 音乐 / 编剧 / 其它,Tsun-wai Chou / Lawrence Chou Tsun Wai,,范晓萱（挚爱）,,,
39,1001604,叶山豪 Hayama Go,373,男,白羊座,1975年04月10日,日本,演员,Hiro Hayama (本名),小室博义(本名),,,,
40,1001714,奚美娟 Meijuan Xi,904,女,白羊座,1955年04月20日,"中国,上海",演员 / 配音,Mei Juan Xi,,周野芒（前夫）,,,
