,id,name,year,url,image,datePublished,genre,language,duration,description,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect
0,10344754,毒战 毒戰,2012,/subject/10344754/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1924498395.jpg,2012-11-15,"['剧情', '动作', '犯罪']", 汉语普通话 / 粤语,PT1H48M,刚刚结束一次危险任务的津海市缉毒大队队长张雷（孙红雷 饰），在医院意外见到因车祸入院治疗的香港人蔡添明（古天乐 饰），身经百战的张队迅速判定蔡与毒品勾当有关。通过对蔡的审讯得知，有一车来自粤江的冰毒当...,210072,10,2,7.5,34235,27592,5441,34235,107664,7410
1,10355621,粉红女郎之爱人快跑,2013,/subject/10355621/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2085235583.jpg,2013-08-23,"['喜剧', '爱情']", 汉语普通话,PT1H41M,为了泡到一个男朋友，结婚狂（阿雅 饰）碰见魔术师高明（锦荣 饰）后，便告诉对方自己怀了他的孩子。高明落跑，结婚狂在好友男人婆（张馨予 饰）、万人迷（刘凡菲 饰）、哈妹（黄一琳 饰）的帮助下从成都飞到台...,1826,10,2,3.2,65,3861,65,65,13658,65
2,10355633,绝命藏宝图,2012,/subject/10355633/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2166519962.jpg,,"['动作', '悬疑']", 汉语普通话,PT1H31M,"一对不食人间烟火的青年男女——彭少文和程雪珂狼狈地逃到余姚县城门口，他们身后有一群凶神恶煞的武林高手在追赶。
刘捕头盘问彭少文二人，发现他们一问三不知，连朝代年号都不知道。余姚知县陈广云见程雪珂姿色艳...",78,10,2,3.2,43,43,43,43,69,43
4,10430281,七个隆咚锵咚锵,2012,/subject/10430281/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1377187455.jpg,2012-01-25,"['喜剧', '爱情']", 汉语普通话,PT1H39M,韩峰（韩兆 饰）在一天之内丢掉了工作和恋人，一无所有的他陷入了人生的低谷之中。然而，韩峰的运气发生了触底反弹，他竟然被大名鼎鼎的大时代公司给录用了。不过，得意忘形的韩峰很快就犯了错误，遭到了人事部经理...,506,10,2,4.9,115,161,115,115,340,115
5,10437802,武当少年 武當少年,2010,/subject/10437802/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2711962641.jpg,,"['剧情', '儿童']", 汉语普通话,PT1H30M,"主人公翔翔原本是一个天真浪漫，活泼好动的孩子，在一次观看武当武校在台湾的表演后，萌生了赴武当习武的念头。
翔翔母亲以琳单身抚养孩子，工作也很繁忙母子俩人相依为命。
天有不测风云，可怕的病魔降临到了翔翔...",68,10,2,6.1,2,192,2,2,233,2
6,10438426,浮城谜事,2012,/subject/10438426/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1722545381.jpg,2012-10-19,"['剧情', '犯罪']", 汉语普通话,PT1H38M,警察童明松（祖锋 饰）负责调查一起车祸，大学生蚊子（常方源 饰） 意外惨死，童明松决定同哥们儿——喜欢蚊子的修车工秦枫（朱亚文 饰）一起调查事件真相。两人追查真相时牵扯出了中产阶级夫妻乔永照（秦昊 饰...,145555,10,2,7.5,53030,29496,53030,53030,77391,55953
7,10441578,双胞胎,2011,/subject/10441578/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2628286079.jpg,,"['剧情', '家庭']", 汉语普通话,PT1H32M,李春李东是一对双胞胎。从小父母偏心，一切李春优先。按照二姐李清的说法，父母把李春当正品，把李东当次品养。奶水不够，父母就决定丢卒保车，把李东送到山区去喂养，导致李东从小营养不良，体弱多病，智商受损。尤...,586,10,2,7.1,13,2,13,13,3,13
8,10449536,北漂鱼,2013,/subject/10449536/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1965291518.jpg,2013-06-21,['喜剧'], 汉语普通话,PT1H28M,大龄北漂余小宝（姜峰 饰）闯荡京城多年只有一个心愿，那就是涉足影视圈，天天与明星为伍，无奈天不遂人愿，至今生活潦倒窘迫。由于虚荣心作怪，他告知家人自己已做了导演，其实他刚刚混上剧照师而已。女儿欣喜若狂...,3849,10,2,4.6,5,3660,5,5,4672,5
9,10449555,热血街头,2012,/subject/10449555/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1698447523.jpg,2012-07-20,"['剧情', '动作']", 汉语普通话,PT1H27M,因父母亡故，李斯（李斯丹妮 饰）与哥哥（王传军 饰）相依为命，缺少家教的兄妹二人在叛逆期双双误入岐途，迷途知返的李斯在兄长入狱后独自去另外城市寻求新的开始。樊星（柯有纶 饰）自幼与猛兽为伍，女友去世后...,1141,10,2,4.2,20,6628,20,20,10584,20
10,10453730,伤心童话,2012,/subject/10453730/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1697361012.jpg,2012-09-14,"['喜剧', '爱情']", 汉语普通话,PT1H32M,影视公司宣传企划杨佳（刘诗诗 饰）得了怪病，命悬一线。暗恋她的程序员刘同（胡夏 饰）为使她不留遗憾，决定在她每次昏迷苏醒之际，以穿越之名为她圆梦。但，刘同的行动并不顺利，除了突发情况带来的穿帮，还有来...,19960,10,2,4.9,25,17961,25,25,20814,25
12,10458675,聊斋志异之桃花劫,2010,/subject/10458675/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2742087877.jpg,,['剧情'], 汉语普通话,,家境显赫的柳老爷寿辰之际，宴请八方宾朋，趋炎附势、嫌贫爱富的故交黄老爷张罗要将自己的女儿小仪和柳家公子柳和定下娃娃亲。双方一拍即合，满心欢喜。谁知柳家门客宫梦弼大破冷水，指出黄老爷的品性，令主宾双方颜...,309,10,2,4.1,35,1680,476,35,1975,476
13,10460130,重返大海,2012,/subject/10460130/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1769035677.jpg,2012-01-27,"['动画', '冒险', '家庭']", 英语 / 汉语普通话,PT1H37M,纽约湾的海域里生活着一个飞鱼家族，年轻的飞鱼Kevin（李俊宇 配音）已被父亲选中作为下一代的头鱼。他梦想着有一天能带领整个家族前往飞鱼故乡巴巴多斯。在一次争吵后冲动地冒险挑战人类的捕鱼区，不幸被捕，...,3601,10,2,5.3,0,227,1,0,251,1
14,10461347,美人三嫁,2012,/subject/10461347/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2867683710.jpg,2012-01-14,"['传记', '爱情']", 汉语普通话,PT1H30M,"《美人三嫁》是北京东方飞云国际影视公司拍摄制作的电视电影，将于2012年01月14日在辽宁卫视《北方影院》栏目中首播。
民国初年，军阀混战，草莽出身的沈虎占据了整个北京城，并强抢前清肃亲王府的七格格玉...",328,10,2,6.6,27,45,8,27,125,8
15,10464232,糖豆八部,2012,/subject/10464232/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555250264.jpg,2012-01-30,['喜剧'], 汉语普通话,PT1H28M,影片讲述一个奋战在糖果行业的销售精英，勇于面对形形色色的商场老赖和公司内部腐败分子，不抱怨、不妥协、不放弃，带领自己的团队，用反常规的智慧在“职场江湖”中自我提升的传奇故事。,310,10,2,6.2,68,69,0,68,138,0
