,id,name,year,description,genre,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect,d动画,d悬疑,d剧情,d西部,d犯罪,d灾难,d传记,d科幻,d儿童,d歌舞,d奇幻,d家庭,d喜剧,d音乐,d惊悚,d运动,d历史,d古装,d爱情,d冒险,d恐怖,d动作,d战争,d武侠,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,dPropaganda
0,10344754,毒战 毒戰,2012,"刚刚结束一次危险任务的津海市缉毒大队队长张雷（孙红雷 饰），在医院意外见到因车祸入院治疗的香港人蔡添明（古天乐 饰），身经百战的张队迅速判定蔡与毒品勾当有关。通过对蔡的审讯得知，有一车来自粤江的冰毒当天抵达津海，即将和当地的贩毒分子哈哈哥交易，而蔡正是双方联络的中间人。为保住性命，蔡添明积极配合，协助张队伪装成粤江赫赫有名的大毒枭黎振标的侄子与哈哈碰头。随后缉毒大队一路南下，途经蔡在鄂州的毒品加工厂，并最终抵达粤江与黎振标交易。周旋在狡猾凶狠的犯罪分子中间，任是经验丰富的张队也必须步步为营，小心应对。

经过一番凶险的试探，双方终于迎来交易的最后时刻，但此时这盘杀机四伏的棋局也全然失去了控制……","['剧情', '动作', '犯罪']",210072,10,2,7.5,34235,27592,5441,34235,107664,7410,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,10355621,粉红女郎之爱人快跑,2013,"为了泡到一个男朋友，结婚狂（阿雅 饰）碰见魔术师高明（锦荣 饰）后，便告诉对方自己怀了他的孩子。高明落跑，结婚狂在好友男人婆（张馨予 饰）、万人迷（刘凡菲 饰）、哈妹（黄一琳 饰）的帮助下从成都飞到台湾，上演“千里寻夫”的戏码。

在台湾，结婚狂历经艰险找到高明，但害怕承担责任的高明利用表演魔术的机会再度逃跑。这其中，色房东（范逸臣 饰）因为喝醉而与四位女生“同睡”一张床，为逃避责任，色房东也开始帮结婚狂寻找孩子的爸爸高明。

事情发展到最后，好姐妹们发现原来这是一出闹剧，因为结婚狂根本没有怀孕，只是她的臆想。但此时，高明对结婚狂的态度已经好转，色房东也开始与结婚狂眉来眼去……","['喜剧', '爱情']",1826,10,2,3.2,65,3861,65,65,13658,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,10355633,绝命藏宝图,2012,"一对不食人间烟火的青年男女——彭少文和程雪珂狼狈地逃到余姚县城门口，他们身后有一群凶神恶煞的武林高手在追赶。

刘捕头盘问彭少文二人，发现他们一问三不知，连朝代年号都不知道。余姚知县陈广云见程雪珂姿色艳丽，起了色心，遭到陈雪珂的拼死反抗，被抓伤了脸。陈广云恼羞成怒，捏造罪名，将彭程二人判为协助倭寇的贼人，着总捕头王勇押解到杭州府受刑。

押解队伍经过陆安杰任职的上虞境内时，遭到日本忍者袭击，王勇带着队伍慌慌张张逃到佛光寺，巧遇在此进香的陆安杰。陆安杰焚香抚琴，唱了一出《空城计》，将日本忍者吓退。

余姚城内，陆安杰、黄强与王勇议论这次劫囚事件，王勇也想不出日本忍者有什么理由袭击自己。陆安杰听说囚犯里面有斯通倭寇的贼人，便想从这条线索上入手，但是明白真相的王勇却百般推诿，不让陆安杰接触彭程二人。

王勇邀请武功高强的黄强护送自己前往杭州府，陆安杰授意黄强不要答应，王勇只得硬着头皮上路。半路上日本忍者又来袭击，王勇大败溃逃，其他囚犯都没事，只有彭少文和程雪珂被掳走。

王勇逃回上虞城，向陆安杰求救，陆安杰却不紧不慢地和他闲扯。不得已，王勇向陆安杰吐露了实情，告诉了他彭程二人被诬陷的事，但是陆安杰仍然没有采取任何行动，王勇急得差点要自行了断。没过多久黄强带着彭程二人回来了，原来他一直在暗中保护着押解队伍，忍者袭击过后，他带人尾随而去，将二人救了回来。黄强俘获了一个忍者，正待逼问，这个忍者却咬舌自尽了，他们的诡异行动仍然是一个不解之谜。

陆安杰将此事快马上报杭州府，提刑按察司吕大人亲自来到上虞县，再召来余姚县令陈广云，三堂会审。没想到老奸巨猾的陈广云安排了许多“人证”，瞒过吕大人的耳目，硬是将彭程二人定为奸人。

就在危急时刻，黄强带来一个侏儒，彭程二人见到这侏儒相抱痛哭。侏儒口不能言，练笔带划加书写说明了原委，原来彭氏家族曾是大户商人，后来隐居海外小岛，前些日子遇到倭寇劫财，多数遇害，只有彭少文、陈雪珂和他逃了出来。

此案一时之间难以定夺，吕大人命陆安杰和陈广云一起前往彭氏隐居的小岛查实证据。

来到小岛后，众人发现这彭少文竟然是元末义军首领彭莹玉的儿子。陈广云大喜过望，坚持要将彭少文交给朝廷，借此将功赎罪。陆安杰则心有不忍，他知道彭少文落到朝廷手里肯定不会有好下场。为此两位县令争执不下，陈广云威胁陆安杰，私藏朝廷命犯是死罪，陆安杰一时无言以对。

天色已晚，船不能行，众人在小岛暂居一晚。黄强到处转悠，发现侏儒有所蹊跷，黄强跟他聊起上虞城三堂会审那天的事，发现侏儒前后所述不符。

第二天陈广云突然态度大变，一口答应保护彭少文，而足智多谋的陆安杰竟也没起一点疑心，稍加嘱咐就带人离开了。

陆安杰走后没多久，日本忍者就出现在小岛上。原来倭寇之所以洗劫小岛，并不为岛上的那点财物，而是为了彭少文、程雪珂背上绘制的藏宝图。当年彭莹玉逃窜过程中将大量财宝埋在隐秘处，临死前将地图分两份绣在儿子和未来儿媳背脊上，当他们洞房那一夜才会发现这个秘密。后来倭寇从纹身师口中探知了这个消息，所以对彭程二人穷追不舍。而这个侏儒被抓获后投靠了倭寇，他是在倭寇的指使下前去上虞解救彭少文，但没想到两位县令会跟着一起到岛上来。前一天晚上，倭寇首领悄悄上岛，对陈广云威逼利诱，许诺将来挖出财宝分他一份，因此陈广云假意应承陆安杰，目的是将陆安杰支走。

当倭寇撕开彭少文的衣服，他和程雪珂才知道身上背负的秘密，但是此刻二人眼看就要性命不保了。就在倭寇要下刀剥皮的时候，黄强带人破门而入。原来陆安杰只是假装离开，船开没多久就又转回来了。侏儒的诡异行径和陈广云的假仁假义根本逃不过陆安杰的眼睛，他施了一个以退为进的计策，待敌人阴谋败露时将其一网打尽。

黄强施展武艺将倭寇首领击毙，陈广云也脱去乌纱帽俯首就擒。在战斗过程中，程雪珂受了重伤，奄奄一息，彭少文抱着爱人走向大海，将彭氏家族的历史和宝藏一起深埋海底。","['动作', '悬疑']",78,10,2,3.2,43,43,43,43,69,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,10430281,七个隆咚锵咚锵,2012,"韩峰（韩兆 饰）在一天之内丢掉了工作和恋人，一无所有的他陷入了人生的低谷之中。然而，韩峰的运气发生了触底反弹，他竟然被大名鼎鼎的大时代公司给录用了。不过，得意忘形的韩峰很快就犯了错误，遭到了人事部经理夏雪（张楚焱 饰）的厌恶，等待韩峰的结局只有一个，那就是拍屁股走人。

就在这个节骨眼上，总经理杨阳（王彤 饰）现身留住了韩峰，让他以试用职员的身份留在公司里。虽然没有被辞退，但杨阳之后的日子也不好过，对他早有成见的夏雪在工作中处处和他针锋相对，两人之间产生了诸多的矛盾。然而，韩峰用自己的实力证明了价值，最终获得了同事和领导们的信任，也收获了真挚的感情。","['喜剧', '爱情']",506,10,2,4.9,115,161,115,115,340,115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,10437802,武当少年 武當少年,2010,"主人公翔翔原本是一个天真浪漫，活泼好动的孩子，在一次观看武当武校在台湾的表演后，萌生了赴武当习武的念头。

翔翔母亲以琳单身抚养孩子，工作也很繁忙母子俩人相依为命。

天有不测风云，可怕的病魔降临到了翔翔头上，他得了一种全身逐渐骨化僵硬的罕见疾病。

母亲为了成全孩子的梦想，俩人不远万里来到湖北武当山，让翔翔上武校拜师学艺。

在武校，翔翔一面习武，一面与病魔做着顽强的斗争，其间还结识了很多热情善良的同学和朋友，母亲也碰到了过去在国外的同窗好友，现在武校任英语老师的吴军。

在武当山翔翔度过了生命中最美好的时光。翔翔的病情不断的恶化，母亲以琳和众人尽了一切努力终究没有挽回他年轻的生命；翔翔带着他的梦想安息在了他最喜欢的地方武当山。","['剧情', '儿童']",68,10,2,6.1,2,192,2,2,233,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10438426,浮城谜事,2012,警察童明松（祖锋 饰）负责调查一起车祸，大学生蚊子（常方源 饰） 意外惨死，童明松决定同哥们儿——喜欢蚊子的修车工秦枫（朱亚文 饰）一起调查事件真相。两人追查真相时牵扯出了中产阶级夫妻乔永照（秦昊 饰）和陆洁（郝蕾 饰），陆洁因为女儿在幼儿园的玩伴宇航，认识了她的妈妈桑琪（齐溪 饰），却在与其交往的过程中发现了丈夫的外遇……随着蛛丝马迹的层层披露，事情越来越蹊跷，童、秦二人发现乔永照、陆洁、桑琪都藏有不可告人的秘密。,"['剧情', '犯罪']",145555,10,2,7.5,53030,29496,53030,53030,77391,55953,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,10441578,双胞胎,2011,李春李东是一对双胞胎。从小父母偏心，一切李春优先。按照二姐李清的说法，父母把李春当正品，把李东当次品养。奶水不够，父母就决定丢卒保车，把李东送到山区去喂养，导致李东从小营养不良，体弱多病，智商受损。尤其是父亲，把自已年老以后的全部希望都寄托在李春身上了。为了给李春安排好的工作与前程，你亲不惜伤害女儿的利益，不怕得罪女儿，也不惜被人举报“以权谋私”，目的只有一个：让李春有个好前程，好光耀门宗。后来李春通过自己的努力，上了广西大学的研究生，毕业后成为一名省报记者，生活充裕。后来父亲摔了一跤成为四肢瘫病人，这个时候，一天二十四小时守在父亲身边的，是下岗失业多年的李东。而李春却振振有词地说：“我对孝有自己的看法。。赡养老人，是社会的责任。。。”拒绝对父亲尽最基本的义务，从此不再与父亲联系。大姐李华联合五个弟弟妺妺要将其告上法庭，要以法律的名义彰显道德的尊严，可是父亲却以微弱的声音说，你们要是告他，我就自杀。。。,"['剧情', '家庭']",586,10,2,7.1,13,2,13,13,3,13,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,10449536,北漂鱼,2013,大龄北漂余小宝（姜峰 饰）闯荡京城多年只有一个心愿，那就是涉足影视圈，天天与明星为伍，无奈天不遂人愿，至今生活潦倒窘迫。由于虚荣心作怪，他告知家人自己已做了导演，其实他刚刚混上剧照师而已。女儿欣喜若狂，即刻约上一帮同学到北京看望导演爸爸。这下打了余小宝个措手不及，他顿时六神无主没了主意。当下首要任务就是在女儿到来之前不能让谎言穿帮，生活制片力哥（林子聪 饰）、三流演员晶晶（尼玛颂宋 饰），以及众多的“北漂非成功者”们临时召开诸葛亮会商讨对策，决定组建一个临时剧组，由小宝任导演。随着他们临阵磨枪，女儿带着同学们马上就到了......,['喜剧'],3849,10,2,4.6,5,3660,5,5,4672,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,10449555,热血街头,2012,因父母亡故，李斯（李斯丹妮 饰）与哥哥（王传军 饰）相依为命，缺少家教的兄妹二人在叛逆期双双误入岐途，迷途知返的李斯在兄长入狱后独自去另外城市寻求新的开始。樊星（柯有纶 饰）自幼与猛兽为伍，女友去世后他正努力帮其实现生前愿望。就在这时，他结识了刚来这个城市的李斯并将她收留。李斯的形象落拓不羁，并不讨人喜欢，但她要报考芭蕾舞学校的志愿引起了樊星的极大关注。通过观察，他发现李斯貌似痞性的外表下有一颗坚定的心，她的言行举止告诉他，以前的她肯定有过异于常人的经历。李斯怀揣心中的秘密再次走上异城的街头，与一帮被恶势力控制的街舞团进行着一次又一次的交锋，最终，李斯用良知告慰了父母的在天之灵......,"['剧情', '动作']",1141,10,2,4.2,20,6628,20,20,10584,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,10453730,伤心童话,2012,影视公司宣传企划杨佳（刘诗诗 饰）得了怪病，命悬一线。暗恋她的程序员刘同（胡夏 饰）为使她不留遗憾，决定在她每次昏迷苏醒之际，以穿越之名为她圆梦。但，刘同的行动并不顺利，除了突发情况带来的穿帮，还有来自情敌尹哲（大左 饰）的奋力阻挠、戳穿。刘同竭尽全力与重重困难斗智斗勇，结果却完全出人意料——原来，杨佳并非真病，她是为对付上司骚扰，佯作患疾。刘同的努力，她完全明了，刘同为她精心设计的从民国到未来，跨越200年的美妙梦境，让杨佳深受感动。大家到此方才恍然大悟。可是，又一个意外横飞而来……,"['喜剧', '爱情']",19960,10,2,4.9,25,17961,25,25,20814,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
