,id,name,year,genre,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect,d动画,d悬疑,d剧情,d西部,d犯罪,d灾难,d传记,d科幻,d儿童,d歌舞,d奇幻,d家庭,d喜剧,d音乐,d惊悚,d运动,d历史,d古装,d爱情,d冒险,d恐怖,d动作,d战争,d武侠,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
0,10344754,毒战 毒戰,2012,"['剧情', '动作', '犯罪']",210072,10,2,7.5,34235,27592,5441,34235,107664,7410,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,10355621,粉红女郎之爱人快跑,2013,"['喜剧', '爱情']",1826,10,2,3.2,65,3861,65,65,13658,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,10355633,绝命藏宝图,2012,"['动作', '悬疑']",78,10,2,3.2,43,43,43,43,69,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,10430281,七个隆咚锵咚锵,2012,"['喜剧', '爱情']",506,10,2,4.9,115,161,115,115,340,115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,10437802,武当少年 武當少年,2010,"['剧情', '儿童']",68,10,2,6.1,2,192,2,2,233,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10438426,浮城谜事,2012,"['剧情', '犯罪']",145555,10,2,7.5,53030,29496,53030,53030,77391,55953,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,10441578,双胞胎,2011,"['剧情', '家庭']",586,10,2,7.1,13,2,13,13,3,13,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,10449536,北漂鱼,2013,['喜剧'],3849,10,2,4.6,5,3660,5,5,4672,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,10449555,热血街头,2012,"['剧情', '动作']",1141,10,2,4.2,20,6628,20,20,10584,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,10453730,伤心童话,2012,"['喜剧', '爱情']",19960,10,2,4.9,25,17961,25,25,20814,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,10458675,聊斋志异之桃花劫,2010,['剧情'],309,10,2,4.1,35,1680,476,35,1975,476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10460130,重返大海,2012,"['动画', '冒险', '家庭']",3601,10,2,5.3,0,227,1,0,251,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,10461347,美人三嫁,2012,"['传记', '爱情']",328,10,2,6.6,27,45,8,27,125,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,10464232,糖豆八部,2012,['喜剧'],310,10,2,6.2,68,69,0,68,138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,10465153,娱乐是个圈,2012,['喜剧'],276,10,2,5.9,17,18972,17,17,22869,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,10466281,闪婚总动员,2012,['喜剧'],327,10,2,5.6,41,4261,0,41,4739,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,10467774,孙子从美国来,2012,"['剧情', '儿童', '家庭']",82131,10,2,8.5,160,1449,160,160,2123,160,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,10468706,盛糖乐队,2011,"['剧情', '喜剧', '音乐']",533,10,2,5.4,4,613,0,4,826,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,10478122,平壤之约 평양에서의 약속,2012,['剧情'],1148,10,2,4.1,212,2261,107,212,2796,107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,10478207,凶间雪山,2012,"['惊悚', '恐怖']",5710,10,2,3.8,26,12020,26,26,17963,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,10478675,冷瞳,2013,"['悬疑', '惊悚']",1098,10,2,2.7,14,4206,4,14,10782,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,10480952,关于爱情和那些魔鬼,2012,"['剧情', '喜剧', '爱情']",712,10,2,5.1,6,2089,6,6,3276,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,10484009,绑架大明星,2013,['喜剧'],1057,10,2,2.8,15,3810,15,18,8502,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,10484039,简单的美丽,2011,['剧情'],124,10,2,7.2,4,301,0,4,509,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,10487240,神通乡巴佬,2012,"['剧情', '喜剧', '爱情']",3542,10,2,4.1,3,7108,4,3,12266,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,10491655,四戒,2012,"['剧情', '喜剧']",2842,10,2,6.2,4,1761,4,4,3211,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,10508879,青魇,2012,"['剧情', '悬疑', '恐怖']",13470,10,2,6.1,4737,18568,22,4737,29698,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,10508901,匹夫,2012,"['剧情', '动作', '战争', '西部']",26297,10,2,5.4,208,38295,780,208,57875,1152,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
31,10514806,查无此人,2012,"['剧情', '悬疑']",2307,10,2,5.2,5,4778,5,5,9470,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,10521637,金毛犬段景柱,2012,"['动作', '爱情', '武侠']",130,10,2,5.1,27,666,155,27,1143,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33,10521681,横山号,2012,['剧情'],133,10,2,4.7,20,656,5,20,1832,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,10526645,家庭计划,2012,"['剧情', '喜剧', '爱情', '家庭']",107,10,2,8.1,22,4,22,22,4,26,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,10527199,渡江！渡江！,2012,"['历史', '战争']",657,10,2,3.0,3,8338,13,3,14553,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
36,10527288,百万巨鳄,2012,"['喜剧', '惊悚', '灾难']",20901,10,2,5.0,179,5891,179,179,14683,203,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,10537853,万箭穿心,2012,"['剧情', '家庭']",213177,10,2,8.6,3596,52841,2426,3596,61954,2470,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,10537987,宗师卜六,2013,"['传记', '动作', '古装']",250,10,2,4.1,20,1990,2,20,2628,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,10539139,HOLD住爱,2012,"['喜剧', '爱情', '悬疑']",24380,10,2,3.6,29,28328,29,29,42570,58,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,10540066,大上海,2012,"['剧情', '动作']",84806,10,2,6.7,8403,21098,8403,8403,92983,8859,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,10543682,怖偶,2014,"['悬疑', '惊悚']",3305,10,2,2.9,7,5736,3,7,6134,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,10545939,黄金时代,2014,"['剧情', '传记', '爱情']",172639,10,2,7.3,26908,40935,1653,26908,272321,1653,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,10545947,囧人之越挠越痒,2013,"['剧情', '喜剧']",2130,10,2,3.7,18,2631,1,18,6926,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,10546813,花样厨神 Final Recipe,2013,['剧情'],4123,10,2,5.9,27,8550,27,27,14275,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,10549223,笔仙,2012,"['悬疑', '恐怖']",16268,10,2,4.7,82,7428,5,82,12800,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,10553086,非常之恋 非常之戀,2011,"['剧情', '爱情']",62,10,2,6.8,46,744,46,46,852,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,10553094,月色狰狞,2012,"['动作', '悬疑']",349,10,2,3.4,38,2490,0,38,4847,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
